county	time	grade	pct_dtap_medical_exempt	pct_dtap_nonmedical_exempt	pct_hepb_medical_exempt	pct_hepb_nonmedical_exempt	pct_hib_medical_exempt	pct_hib_nonmedical_exempt	pct_mmr_medical_exempt	pct_mmr_nonmedical_exempt	pct_pcv_medical_exempt	pct_pcv_nonmedical_exempt	pct_polio_medical_exempt	pct_polio_nonmedical_exempt	pct_varicella_medical_exempt	pct_varicella_nonmedical_exempt	pct_tdap_medical_exempt	pct_tdap_nonmedical_exempt	geography	state	geography_name	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt
Arapahoe	2021-09-01	Kindergarten	0.04	1.65	0.03	1.6	NA	NA	0.07	1.68	NA	NA	0.06	1.58	0.07	1.85	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2021-09-01	School	0.03	1.26	0.04	1.36	NA	NA	0.08	1.72	NA	NA	0.04	1.34	0.1	1.84	0.08	1.11	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2022-09-01	Child Care/Preschool	0.1	1.09	0.1	1.18	0.09	1.02	0.1	1.07	0.09	1	0.09	1.07	0.1	1.09	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2022-09-01	Kindergarten	0.08	1.3	0.06	1.17	NA	NA	0.1	1.26	NA	NA	0.09	1.28	0.09	1.37	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2022-09-01	School	0.05	0.72	0.04	0.74	NA	NA	0.08	0.73	NA	NA	0.05	0.75	0.09	0.8	0.07	0.69	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2023-09-01	Child Care/Preschool	0.2	1.3	0.22	1.35	0.21	1.21	0.2	1.33	0.2	1.23	0.2	1.26	0.2	1.37	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2023-09-01	Kindergarten	0.09	2.03	0.08	1.78	NA	NA	0.11	1.96	NA	NA	0.09	1.96	0.15	2.09	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2023-09-01	School	0.06	1.1	0.06	1.13	NA	NA	0.1	1.16	NA	NA	0.06	1.16	0.16	1.23	0.07	1.03	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2024-09-01	Child Care/Preschool	0.15	1.63	0.15	1.61	0.13	1.51	0.19	1.57	0.15	1.53	0.16	1.59	0.18	1.61	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2024-09-01	Kindergarten	0.05	2.13	0.05	1.8	NA	NA	0.13	2.13	NA	NA	0.07	2.17	0.17	2.22	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2024-09-01	School	0.05	1.21	0.05	1.21	NA	NA	0.1	1.27	NA	NA	0.06	1.29	0.17	1.33	0.07	1.2	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2025-09-01	Child Care/Preschool	0.02	1.97	0.05	2.02	0.02	1.85	0.03	1.98	0.02	1.86	0.02	1.92	0.03	2.02	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2025-09-01	Kindergarten	0.07	2.24	0.09	1.72	NA	NA	0.1	2.28	NA	NA	0.08	2.21	0.09	2.3	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2025-09-01	School	0.05	1.33	0.05	1.18	NA	NA	0.1	1.35	NA	NA	0.06	1.36	0.17	1.41	0.07	1.12	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archuleta	2018-09-01	Child Care/Preschool	NA	12.5	NA	13.89	NA	12.5	NA	13.19	NA	12.5	NA	12.5	NA	13.89	NA	NA	08007	CO	Archuleta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archuleta	2018-09-01	Kindergarten	NA	12.5	NA	13.46	NA	NA	NA	13.46	NA	NA	NA	14.42	NA	14.42	NA	NA	08007	CO	Archuleta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archuleta	2018-09-01	School	NA	8.61	NA	8.81	NA	NA	NA	9.2	NA	NA	NA	9.2	NA	9.78	NA	9.25	08007	CO	Archuleta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
