"OBJECTID","District","SDID","CESA","Type","District_Name","Percent_Immunized","Percent_Immunized_TXT","Shape.STArea()","Shape.STLength()"
350,"Tomahawk","5754",9,"Unified","Tomahawk Sch Dist",83.95061728,"84%",2239460550.9102,293033.439638675
351,"Tomorrow River","0126",5,"Unified","Tomorrow River Sch Dist",75.45064378,"75.5%",505998033.272531,149522.972322634
352,"Trevor-Wilmot Consolidated","5780",2,"Elementary","Trevor-Wilmot Consolidated Sch Dist",90.81196581,"90.8%",51369448.962324,41075.0147606395
353,"Tri-County Area","4375",5,"Unified","Tri-County Area Sch Dist",43.25744308,"43.3%",1107152029.00005,234515.491535712
354,"Turtle Lake","5810",11,"Unified","Turtle Lake Sch Dist",91.10629067,"91.1%",594178970.612366,203585.136870242
355,"Twin Lakes #4","5817",2,"Elementary","Twin Lakes #4 Sch Dist",84.92647059,"84.9%",20293900.8370876,29288.4666794779
356,"Two Rivers Public","5824",7,"Unified","Two Rivers Public Sch Dist",95.58541267,"95.6%",145776161.971545,67442.1774337604
357,"Union Grove J1","5859",2,"Elementary","Union Grove J1 Sch Dist",97.66146993,"97.7%",52025463.7439401,35722.1377237931
358,"Union Grove UHS","5852",2,"Secondary","Union Grove UHS Sch Dist",93.1166348,"93.1%",401688829.423098,98874.9197427256
359,"Unity","0238",11,"Unified","Unity Sch Dist",87.06986444,"87.1%",774725911.581728,207785.424173297
360,"Valders Area","5866",7,"Unified","Valders Area Sch Dist",94.77459016,"94.8%",592788191.916046,161437.355077289
361,"Viroqua Area","5985",4,"Unified","Viroqua Area Sch Dist",84.97109827,"85%",929697229.710431,283334.226888564
362,"Wabeno Area","5992",8,"Unified","Wabeno Area Sch Dist",81.81818182,"81.8%",1841659323.55594,242188.1513462
363,"Walworth J1","6022",2,"Elementary","Walworth J1 Sch Dist",88.60465116,"88.6%",130739784.87344,76034.1826026236
364,"Washburn","6027",12,"Unified","Washburn Sch Dist",80.63973064,"80.6%",1022486616.86953,168766.000500057
365,"Washington Island","6069",7,"Unified","Washington Island Sch Dist",91.93548387,"91.9%",133208234.99288,125113.241604725
366,"Washington-Caldwell","6104",2,"Elementary","Washington-Caldwell Sch Dist",97.39583333,"97.4%",45487918.1191777,56066.9413784699
367,"Waterford Graded J1","6113",2,"Elementary","Waterford Graded J1 Sch Dist",94.67576792,"94.7%",231726651.619139,153955.504963205
368,"Waterford UHS","6083",2,"Secondary","Waterford UHS Sch Dist",99.58333333,"99.6%",417337884.360173,127820.828076094
369,"Waterloo","6118",2,"Unified","Waterloo Sch Dist",93.12101911,"93.1%",408861014.762298,143357.961401364
370,"Watertown Unified","6125",2,"Unified","Watertown Unified Sch Dist",89.99678353,"90%",795708724.667114,289063.69079437
371,"Waukesha","6174",1,"Unified","Waukesha Sch Dist",91.3945712,"91.4%",341744416.175524,107508.013275958
372,"Waunakee Community","6181",2,"Unified","Waunakee Community Sch Dist",93.79247848,"93.8%",277158399.872033,140814.403768006
373,"Waupaca","6195",5,"Unified","Waupaca Sch Dist",88.24951644,"88.2%",804689043.720713,172266.175684998
374,"Waupun","6216",6,"Unified","Waupun Sch Dist",92.00206398,"92%",874004884.036713,251226.708143253
375,"Wausau","6223",9,"Unified","Wausau Sch Dist",93.15086433,"93.2%",1341582927.74861,215254.223365392
376,"Wausaukee","6230",8,"Unified","Wausaukee Sch Dist",93.75,"93.8%",2214463470.86509,309135.854373926
377,"Wautoma Area","6237",5,"Unified","Wautoma Area Sch Dist",89.26123382,"89.3%",881237820.022666,201392.676345664
378,"Wauwatosa","6244",1,"Unified","Wauwatosa Sch Dist",86.89277251,"86.9%",64190839.4495538,63414.591721927
379,"Webster","6293",11,"Unified","Webster Sch Dist",92.20183486,"92.2%",2624353959.34251,297539.391562148
380,"West Allis-West Milwaukee","6300",1,"Unified","West Allis-West Milwaukee Sch Dist",86.95516812,"87%",66807798.70675,55994.4726215382
381,"West Bend","6307",6,"Unified","West Bend Sch Dist",91.73799127,"91.7%",492873908.054892,118840.255960637
382,"West De Pere","6328",7,"Unified","West De Pere Sch Dist",93.55474247,"93.6%",237882400.952351,95794.9757648227
383,"West Salem","6370",4,"Unified","West Salem Sch Dist",93.02979202,"93%",471855437.984842,168773.494521328
384,"Westby Area","6321",4,"Unified","Westby Area Sch Dist",92.33067729,"92.3%",843404236.252081,362229.690921099
385,"Westfield","6335",5,"Unified","Westfield Sch Dist",88.07251908,"88.1%",1433120869.25316,350564.819074813
386,"Weston","6354",3,"Unified","Weston Sch Dist",93.75,"93.8%",486361743.362599,220229.917423239
