"geography","geography_name","grade","n_enrolled","pct_no_record","pct_pbe","pct_me","pct_re","pct_utd_mmr","pct_utd_polio","pct_utd_dtap","pct_utd_hepb","pct_utd_chickenpox","pct_utd_tdap","pct_utd_mcv4"
38035,"Grand Forks County","11",3950,2.28143037974684,0.910420253164557,0.0769721518987342,0.225670886075949,96.9869594936709,96.6815873417722,NA,96.9865670886076,96.7575443037975,96.556070886076,89.3370455696202
38035,"Grand Forks County","7",4430,1.37844920993228,1.66986455981941,0.0896455981941309,0.719487584650113,96.9294559819413,96.7033137697517,NA,96.9073047404063,96.4788713318284,94.3325981941309,93.8575620767494
38035,"Grand Forks County","Kindergarten",5641,0.532692784967204,2.43416770076228,0.106839212905513,0.781939372451693,94.5809501861372,95.1860556638894,94.7740577911718,95.843678425811,94.5264084382202,NA,NA
38037,"Grant County","11",95,9.84905263157895,3.15736842105263,0,0,93.3095789473684,90.1495789473684,NA,91.2032631578947,92.257052631579,92.2547368421053,81.731052631579
38037,"Grant County","7",137,1.46036496350365,5.83839416058394,0,0,91.9709489051095,90.7851824817518,NA,91.7430656934307,85.4016058394161,86.4061313868613,85.6766423357664
38037,"Grant County","Kindergarten",172,5.23418604651163,11.6302906976744,0,0,80.2313372093023,82.5568023255814,83.1371511627907,88.9531976744186,79.6508720930233,NA,NA
38039,"Griggs County","11",170,3.5294705882353,4.70494117647059,0,0,94.1169411764706,94.7049411764706,NA,95.8830588235294,94.7056470588235,91.176294117647,82.3515882352941
38039,"Griggs County","7",167,3.59832335329341,2.99353293413174,0,0.598622754491018,93.4119760479042,94.0107784431138,NA,94.6115568862276,94.0107784431138,89.8202994011976,88.6207784431138
38039,"Griggs County","Kindergarten",231,3.46316017316017,2.1647619047619,0,0.866147186147186,87.4451515151515,87.4442857142857,87.4442857142857,91.3417316017316,86.5789177489178,NA,NA
38041,"Hettinger County","11",220,2.27154545454545,2.27281818181818,0,0.454363636363636,95.91,95.4538636363636,NA,95.0012727272727,94.9995,93.6348636363636,82.7245454545454
38041,"Hettinger County","7",181,1.1060773480663,3.31325966850829,0,0,96.1324861878453,96.6867403314917,NA,96.6867403314917,96.1324861878453,95.5806629834254,95.5806629834254
38041,"Hettinger County","Kindergarten",247,2.02412955465587,4.04902834008097,0.404210526315789,1.21303643724696,87.8523076923077,87.4476113360324,88.2583805668016,89.8792307692308,87.4476113360324,NA,NA
38043,"Kidder County","11",176,3.53511363636364,5.76704545454545,0,0,93.0965909090909,93.0965909090909,NA,95.4536363636364,92.4869318181818,92.4869318181818,89.6894318181818
38043,"Kidder County","7",164,1.98115853658537,5.03176829268293,0,0,93.7487195121951,93.7487195121951,NA,95.6531097560975,93.1400609756098,93.2170731707317,91.9969512195122
38043,"Kidder County","Kindergarten",205,2.9270243902439,6.34087804878049,0,2.92682926829268,89.2694634146341,88.7806829268293,88.7806829268293,92.1967804878049,87.8050731707317,NA,NA
38047,"Logan County","11",167,1.19712574850299,6.71904191616766,0,2.65580838323353,90.0282634730539,90.0282634730539,NA,90.0282634730539,90.0282634730539,88.2322754491018,70.6583832335329
38047,"Logan County","7",150,0,4.00086666666667,0,0,95.9991333333333,95.9991333333333,NA,94.6663333333333,94.6671333333333,91.9988,92.6668
38047,"Logan County","Kindergarten",177,1.12937853107345,10.910790960452,5.08474576271187,1.12881355932203,84.5697740112994,85.698813559322,86.2628813559322,86.2628813559322,84.5697740112994,NA,NA
38057,"Mercer County","11",589,0,2.39602716468591,0.170322580645161,0,97.2642784380306,97.4359762308998,NA,98.2939558573854,96.0585229202037,96.4053650254669,90.4548556876061
38057,"Mercer County","7",566,8.83318021201413,3.0032332155477,0.176113074204947,1.23719081272085,95.2204770318021,95.2194699646643,NA,95.0429681978798,93.7880918727915,91.8450176678445,91.3049116607774
38057,"Mercer County","Kindergarten",750,0,5.60517333333333,0.800213333333333,3.77473333333333,90.4868133333333,90.2205733333333,90.3536933333333,90.2194,90.2203066666667,NA,NA
38059,"Morton County","11",2199,3.55422919508868,2.55260118235562,0.229740791268759,0.13618917689859,96.395934515689,96.7634333788086,NA,96.8994224647567,96.3517917235107,94.9794179172351,82.1677398817644
38059,"Morton County","7",2637,0.492377701934016,3.07432309442548,0.151247629882442,0.493686006825939,95.5936329161926,95.5582404247251,NA,95.7875957527493,95.1028934395146,87.9298900265453,87.624797117937
