"OBJECTID","Year","Survey_Type","Vaccine","Metric","Value_Percent","Enrollment"
663,"2019/2020","Kindergarten","DTaP","Incomplete Record",1.8,67876
664,"2019/2020","Kindergarten","Polio","Fully Immunized",90.6,67876
665,"2019/2020","School","MMR","No Record",0.7,899626
666,"2020/2021","Child Care/Preschool","Hib","Medical Exemption",0.2,82985
667,"2020/2021","Child Care/Preschool","MMR","Fully Immunized",93.9,82985
668,"2020/2021","Child Care/Preschool","Varicella","Incomplete Record",1.1,82985
669,"2020/2021","Kindergarten","Varicella","Fully Immunized",89.4,61888
670,"2020/2021","School","Polio","Nonmedical Exemption",2.6,867411
671,"2021/2022","School","Varicella","Incomplete Record",3.1,866857
672,"2022/2023","Child Care/Preschool","Varicella","Fully Immunized",94,95552
673,"2022/2023","School","HepB","No Record",1.5,870984
674,"2022/2023","School","Tdap","Medical Exemption",0.1,494743
675,"2022/2023","School","Tdap","Nonmedical Exemption",2.4,494743
676,"2023/2024","Child Care/Preschool","MMR","No Record",0.7,90894
677,"2023/2024","Kindergarten","Polio","Fully Immunized",87.7,61748
678,"2023/2024","School","Varicella","Incomplete Record",2.7,853939
679,"2024/2025","Kindergarten","DTaP","Incomplete Record",5.5,60055
680,"2024/2025","School","DTaP","Nonmedical Exemption",2.5,851736
681,"2025/2026","Child Care/Preschool","DTaP","In Process",2.4,97807
682,"2025/2026","Child Care/Preschool","DTaP","Incomplete Record",1.7,97807
683,"2025/2026","Child Care/Preschool","Varicella","Nonmedical Exemption",3.4,97807
684,"2025/2026","Kindergarten","Varicella","In Process",0.6,60049
685,"2017/2018","Kindergarten","DTaP","Incomplete Record",5.5,65718
686,"2017/2018","Kindergarten","MMR","In Process",0.7,65718
687,"2018/2019","Kindergarten",,"Summary Compliant",88.4,64179
688,"2018/2019","Kindergarten","HepB","Fully Immunized",90.8,64179
689,"2018/2019","School",,"Summary Compliant",92.6,864485
690,"2018/2019","School","Polio","Nonmedical Exemption",2.8,864485
691,"2018/2019","School","Tdap","No Record",1.8,470136
692,"2019/2020","Child Care/Preschool","DTaP","In Process",1.5,108348
693,"2019/2020","Child Care/Preschool","DTaP","Nonmedical Exemption",2.6,108348
694,"2019/2020","Child Care/Preschool","Varicella","In Process",1.3,108348
695,"2019/2020","Kindergarten","HepB","Medical Exemption",0.1,67876
696,"2020/2021","Child Care/Preschool","DTaP","Nonmedical Exemption",2.2,82985
697,"2020/2021","School","DTaP","In Process",0.2,867411
698,"2021/2022","Kindergarten","DTaP","Fully Immunized",89.1,65253
699,"2022/2023","Child Care/Preschool",,"Summary Compliant",95.7,95552
700,"2022/2023","Kindergarten","Polio","Incomplete Record",5.7,63887
701,"2022/2023","School","MMR","Fully Immunized",93.8,870984
702,"2023/2024","Child Care/Preschool","MMR","Nonmedical Exemption",2.6,90894
703,"2023/2024","Child Care/Preschool","Polio","In Process",1.1,90894
704,"2023/2024","Kindergarten",,"Summary Compliant",90,61748
705,"2023/2024","School","HepB","In Process",0.2,853939
706,"2023/2024","School","Tdap","Medical Exemption",0.2,483364
707,"2024/2025","Child Care/Preschool","Varicella","Incomplete Record",1.2,94156
708,"2025/2026","School","Polio","Incomplete Record",2.4,849507
709,"2017/2018","Kindergarten","Polio","No Record",0.8,65718
710,"2017/2018","School","Tdap","Fully Immunized",90.5,490361
711,"2018/2019","Kindergarten","DTaP","In Process",0.6,64179
712,"2018/2019","Kindergarten","MMR","Incomplete Record",5.6,64179
713,"2018/2019","School","MMR","Nonmedical Exemption",2.7,864485
714,"2019/2020","Child Care/Preschool",,"Summary Compliant",95.5,108348
715,"2019/2020","School","Tdap","In Process",0.3,495607
716,"2020/2021","Child Care/Preschool","Hib","Fully Immunized",93.8,82985
717,"2020/2021","Child Care/Preschool","MMR","No Record",2,82985
718,"2020/2021","Child Care/Preschool","Varicella","In Process",1.1,82985
719,"2020/2021","Kindergarten","MMR","Nonmedical Exemption",3.8,61888
720,"2022/2023","School","HepB","Nonmedical Exemption",2.4,870984
