time	state	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	pct_any_exempt
2022-09-01	Louisiana	22075	Plaquemines	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9104	NA	NA	0.9761	NA	NA	NA	0.0239	0.0239
2022-09-01	Louisiana	22077	Pointe Coupee	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9017	NA	NA	0.9915	NA	NA	NA	0.0043	0.0043
2022-09-01	Louisiana	22079	Rapides	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7129	NA	NA	0.986	NA	NA	NA	0.0061	0.0061
2022-09-01	Louisiana	22081	Red River	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8261	NA	NA	1	NA	NA	NA	0	0
2022-09-01	Louisiana	22083	Richland	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.6073	NA	NA	1	NA	NA	NA	0	0
2022-09-01	Louisiana	22085	Sabine	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7376	NA	NA	1	NA	NA	NA	0	0
2022-09-01	Louisiana	22087	St. Bernard	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9063	NA	NA	0.9703	NA	NA	NA	0.025	0.025
2022-09-01	Louisiana	22089	St. Charles	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9308	NA	NA	0.9851	NA	NA	NA	0.0122	0.0122
2022-09-01	Louisiana	22091	St. Helena	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.3818	NA	NA	1	NA	NA	NA	0	0
2022-09-01	Louisiana	22093	St. James	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9592	NA	NA	0.9755	NA	NA	NA	0.0204	0.0204
2022-09-01	Louisiana	22095	St. John the Baptist	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9318	NA	NA	0.9929	NA	NA	NA	0.0071	0.0071
2022-09-01	Louisiana	22097	St. Landry	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.681	NA	NA	0.9949	NA	NA	NA	0.002	0.002
2022-09-01	Louisiana	22099	St. Martin	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7632	NA	NA	0.9761	NA	NA	NA	0.0191	0.0191
2022-09-01	Louisiana	22101	St. Mary	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.908	NA	NA	0.9948	NA	NA	NA	0.0035	0.0035
2022-09-01	Louisiana	22103	St. Tammany	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8117	NA	NA	0.9493	NA	NA	NA	0.0439	0.0439
2022-09-01	Louisiana	22105	Tangipahoa	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8328	NA	NA	0.9826	NA	NA	NA	0.0155	0.0155
2022-09-01	Louisiana	22107	Tensas	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.6552	NA	NA	1	NA	NA	NA	0	0
2022-09-01	Louisiana	22109	Terrebonne	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8202	NA	NA	0.9665	NA	NA	NA	0.0265	0.0265
2022-09-01	Louisiana	22111	Union	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7217	NA	NA	0.9858	NA	NA	NA	0.0142	0.0142
2022-09-01	Louisiana	22113	Vermilion	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8664	NA	NA	0.9744	NA	NA	NA	0.0256	0.0256
2022-09-01	Louisiana	22115	Vernon	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8959	NA	NA	0.9626	NA	NA	NA	0.026	0.026
2022-09-01	Louisiana	22117	Washington	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7749	NA	NA	0.9831	NA	NA	NA	0.0169	0.0169
2022-09-01	Louisiana	22119	Webster	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7231	NA	NA	0.996	NA	NA	NA	0.002	0.002
2022-09-01	Louisiana	22121	West Baton Rouge	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8255	NA	NA	0.9899	NA	NA	NA	0	0
2022-09-01	Louisiana	22123	West Carroll	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.5785	NA	NA	0.9835	NA	NA	NA	0	0
2022-09-01	Louisiana	22125	West Feliciana	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9114	NA	NA	0.9747	NA	NA	NA	0.0253	0.0253
2022-09-01	Louisiana	22127	Winn	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9301	NA	NA	1	NA	NA	NA	0	0
2023-09-01	Louisiana	22001	Acadia	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.739	NA	NA	0.974	NA	NA	NA	0.0169	0.0169
2023-09-01	Louisiana	22003	Allen	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.6798	NA	NA	0.9737	NA	NA	NA	0.0263	0.0263
2023-09-01	Louisiana	22005	Ascension	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9473	NA	NA	0.965	NA	NA	NA	0.0344	0.0344
2023-09-01	Louisiana	22007	Assumption	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8775	NA	NA	1	NA	NA	NA	0	0
2023-09-01	Louisiana	22009	Avoyelles	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8342	NA	NA	0.9658	NA	NA	NA	0.0316	0.0316
2023-09-01	Louisiana	22011	Beauregard	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.842	NA	NA	0.9679	NA	NA	NA	0.0321	0.0321
2023-09-01	Louisiana	22013	Bienville	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9244	NA	NA	0.9709	NA	NA	NA	0.0291	0.0291
2023-09-01	Louisiana	22015	Bossier	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7846	NA	NA	0.9919	NA	NA	NA	0.0052	0.0052
2023-09-01	Louisiana	22017	Caddo	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7134	NA	NA	0.9869	NA	NA	NA	0.0025	0.0025
2023-09-01	Louisiana	22019	Calcasieu	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7954	NA	NA	0.9545	NA	NA	NA	0.0394	0.0394
2023-09-01	Louisiana	22021	Caldwell	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7444	NA	NA	0.9667	NA	NA	NA	0.0222	0.0222
2023-09-01	Louisiana	22023	Cameron	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.6286	NA	NA	0.9857	NA	NA	NA	0.0143	0.0143
2023-09-01	Louisiana	22025	Catahoula	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9355	NA	NA	0.9839	NA	NA	NA	0.0161	0.0161
2023-09-01	Louisiana	22027	Claiborne	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8865	NA	NA	1	NA	NA	NA	0	0
2023-09-01	Louisiana	22029	Concordia	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8025	NA	NA	0.98740000000000006	NA	NA	NA	0.0126	0.0126
2023-09-01	Louisiana	22031	De Soto	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7611	NA	NA	0.9735	NA	NA	NA	0.0265	0.0265
2023-09-01	Louisiana	22033	East Baton Rouge	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7443	NA	NA	0.9593	NA	NA	NA	0.0131	0.0131
2023-09-01	Louisiana	22035	East Carroll	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8358	NA	NA	1	NA	NA	NA	0	0
2023-09-01	Louisiana	22037	East Feliciana	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.685	NA	NA	0.9921	NA	NA	NA	0.0079	0.0079
2023-09-01	Louisiana	22039	Evangeline	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7175	NA	NA	0.9718	NA	NA	NA	0.0169	0.0169
2023-09-01	Louisiana	22041	Franklin	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.4439	NA	NA	0.9955	NA	NA	NA	0	0
2023-09-01	Louisiana	22043	Grant	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7535	NA	NA	1	NA	NA	NA	0	0
2023-09-01	Louisiana	22045	Iberia	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8482	NA	NA	0.9573	NA	NA	NA	0.0389	0.0389
2023-09-01	Louisiana	22047	Iberville	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9207	NA	NA	0.9745	NA	NA	NA	0.0255	0.0255
2023-09-01	Louisiana	22049	Jackson	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9178	NA	NA	0.9589	NA	NA	NA	0.0411	0.0411
2023-09-01	Louisiana	22051	Jefferson	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8335	NA	NA	0.9809	NA	NA	NA	0.0115	0.0115
2023-09-01	Louisiana	22053	Jefferson Davis	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7813	NA	NA	0.9779	NA	NA	NA	0.0172	0.0172
2023-09-01	Louisiana	22059	La Salle	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9079	NA	NA	0.9803	NA	NA	NA	0.0197	0.0197
