,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Kindergarten through 12th Grade
(Percent of Students with a Conscientious Exemption to at Least One Vaccine)",,,,,,,,,,,,,,,,,
State,County,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,,,,,,,
,Medina,0.34%,0.42%,0.34%,0.30%,0.44%,0.51%,0.60%,0.65%,0.76%,1.01%,1.11%,,,,,,,
,Menard,0.00%,0.00%,0.71%,0.36%,0.00%,0.35%,0.00%,0.00%,0.50%,1.12%,1.19%,,,,,,,
,Midland,0.67%,0.51%,0.79%,0.94%,0.84%,1.26%,0.96%,0.45%,1.31%,1.51%,1.98%,,,,,,,
,Milam,0.46%,0.89%,0.73%,0.66%,0.64%,0.96%,1.04%,0.94%,4.53%,1.14%,1.53%,,,,,,,
,Mills,0.86%,1.08%,1.65%,1.61%,1.97%,1.48%,1.14%,1.89%,1.10%,2.48%,3.74%,,,,,,,
,Mitchell,0.67%,0.62%,0.21%,0.22%,0.08%,0.07%,0.07%,0.49%,0.64%,0.75%,1.38%,,,,,,,
,Montague,0.49%,0.73%,0.78%,1.46%,2.30%,2.99%,3.51%,3.09%,4.56%,6.03%,7.05%,,,,,,,
,Montgomery,0.72%,1.74%,1.73%,1.76%,1.94%,1.74%,2.26%,1.96%,2.60%,2.91%,3.26%,,,,,,,
,Moore,0.18%,0.17%,0.19%,0.12%,0.15%,0.24%,0.32%,0.53%,0.60%,0.74%,0.92%,,,,,,,
,Morris,0.07%,0.10%,0.11%,0.16%,0.28%,0.51%,0.34%,0.28%,0.46%,0.58%,0.35%,,,,,,,
,Motley,0.00%,NR**,0.00%,0.65%,0.62%,1.34%,1.44%,1.99%,2.80%,4.03%,4.05%,,,,,,,
,Nacogdoches,0.66%,0.54%,1.25%,1.32%,0.80%,1.34%,1.06%,1.24%,1.37%,1.66%,1.61%,,,,,,,
,Navarro,0.35%,0.35%,0.35%,0.28%,0.30%,0.40%,0.47%,0.57%,0.85%,1.38%,1.76%,,,,,,,
,Newton,0.72%,0.22%,1.35%,1.10%,1.48%,1.94%,1.39%,1.89%,2.69%,4.15%,3.82%,,,,,,,
,Nolan,0.45%,0.32%,0.54%,0.45%,0.61%,0.86%,0.83%,0.78%,1.17%,1.57%,1.56%,,,,,,,
,Nueces,0.35%,0.47%,0.52%,0.59%,0.69%,0.76%,0.88%,0.81%,1.12%,1.24%,1.39%,,,,,,,
,Ochiltree,0.43%,0.21%,0.13%,0.26%,0.42%,0.65%,0.29%,0.73%,1.06%,1.09%,1.72%,,,,,,,
,Oldham,0.94%,1.45%,1.28%,1.13%,1.21%,2.33%,2.46%,2.76%,3.47%,3.37%,4.69%,,,,,,,
,Orange,0.29%,0.75%,0.66%,1.01%,0.94%,1.27%,1.95%,2.14%,2.68%,3.51%,4.25%,,,,,,,
,Palo Pinto,0.95%,0.92%,0.96%,1.10%,1.48%,1.47%,1.88%,1.81%,2.18%,2.44%,2.87%,,,,,,,
,Panola,0.32%,0.25%,0.49%,0.65%,0.78%,1.12%,1.15%,1.32%,2.03%,2.95%,3.17%,,,,,,,
,Parker,1.14%,1.40%,1.30%,1.61%,1.78%,1.98%,2.51%,2.62%,3.57%,4.40%,4.85%,,,,,,,
,Parmer,0.63%,0.53%,0.95%,0.93%,0.85%,0.81%,1.13%,1.26%,0.87%,1.03%,1.05%,,,,,,,
,Pecos,0.31%,0.20%,0.23%,0.35%,0.37%,0.55%,0.53%,0.60%,0.98%,1.12%,2.18%,,,,,,,
,Polk,0.48%,0.55%,0.54%,0.48%,0.76%,0.91%,0.57%,0.53%,0.51%,0.38%,0.95%,,,,,,,
,Potter,0.94%,0.95%,0.90%,1.17%,1.21%,1.28%,1.43%,1.69%,1.63%,1.73%,1.81%,,,,,,,
,Presidio,0.06%,0.12%,0.17%,0.12%,0.33%,0.48%,0.50%,0.24%,0.16%,0.17%,0.42%,,,,,,,
,Rains,0.45%,1.16%,2.85%,1.96%,NR**,2.25%,2.66%,3.06%,3.77%,3.88%,4.74%,,,,,,,
,Randall,1.47%,1.67%,1.66%,1.75%,1.85%,2.05%,2.28%,1.98%,2.36%,2.80%,3.24%,,,,,,,
