,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Kindergarten
(Percent of Students with a Conscientious Exemption to at Least One Vaccine)",,,,,,,,,,,,,,,,,
State,County,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,,,,,,,
,Limestone,0.00%,0.00%,0.68%,0.00%,1.04%,0.37%,1.40%,0.82%,1.04%,2.11%,3.31%,,,,,,,
,Lipscomb,0.00%,0.00%,1.54%,0.00%,2.13%,3.51%,0.00%,4.76%,0.00%,5.00%,6.82%,,,,,,,
,Live Oak,0.00%,1.32%,0.77%,0.79%,1.49%,0.81%,0.00%,0.92%,4.29%,0.74%,1.57%,,,,,,,
,Llano,1.94%,2.86%,3.03%,1.79%,1.69%,1.74%,3.76%,2.86%,3.05%,2.13%,8.40%,,,,,,,
,Loving,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,,,,,,,
,Lubbock,1.14%,1.30%,1.36%,1.56%,1.80%,1.77%,2.04%,2.04%,2.92%,3.44%,3.47%,,,,,,,
,Lynn,0.87%,1.74%,1.87%,1.80%,4.17%,4.40%,1.61%,1.96%,3.79%,6.25%,8.82%,,,,,,,
,McCulloch,0.00%,0.46%,0.51%,0.53%,0.56%,0.53%,0.00%,2.48%,2.63%,2.01%,0.51%,,,,,,,
,McLennan,1.05%,0.00%,0.00%,1.20%,0.00%,2.13%,0.00%,2.56%,1.56%,2.53%,1.59%,,,,,,,
,McMullen,2.83%,11.76%,1.92%,1.09%,3.88%,4.08%,3.42%,1.02%,4.35%,4.35%,3.41%,,,,,,,
,Madison,1.64%,0.00%,2.86%,6.00%,6.35%,2.04%,3.17%,1.92%,7.55%,4.00%,7.27%,,,,,,,
,Marion,0.51%,0.18%,1.45%,1.11%,1.33%,1.18%,1.79%,2.12%,2.43%,1.97%,2.49%,,,,,,,
,Martin,0.27%,0.09%,0.20%,0.20%,0.19%,0.28%,0.19%,0.39%,0.39%,0.00%,0.62%,,,,,,,
,Mason,0.82%,2.73%,1.71%,2.00%,2.91%,2.97%,1.19%,3.53%,4.82%,4.26%,6.02%,,,,,,,
,Matagorda,0.42%,0.57%,0.48%,1.00%,1.03%,2.03%,2.36%,2.01%,3.24%,3.76%,3.45%,,,,,,,
,Maverick,0.00%,5.56%,0.00%,5.26%,0.00%,0.00%,#N/A,8.33%,4.76%,5.88%,4.55%,,,,,,,
,Medina,1.05%,1.66%,0.74%,0.83%,1.24%,0.81%,1.42%,0.89%,2.21%,2.37%,1.60%,,,,,,,
,Menard,0.00%,0.00%,4.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.76%,,,,,,,
,Midland,2.06%,0.85%,0.93%,1.15%,1.08%,1.61%,1.95%,2.06%,2.01%,2.73%,3.78%,,,,,,,
,Milam,1.37%,1.95%,1.20%,0.92%,1.01%,1.69%,1.25%,1.28%,3.58%,1.81%,4.36%,,,,,,,
,Mills,3.45%,1.82%,1.85%,1.89%,0.00%,0.00%,2.00%,0.00%,1.64%,7.27%,6.25%,,,,,,,
,Mitchell,0.92%,0.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.00%,2.83%,3.30%,,,,,,,
,Montague,1.16%,0.00%,2.92%,4.07%,4.52%,7.39%,7.02%,6.90%,6.41%,9.63%,12.56%,,,,,,,
,Montgomery,0.96%,2.51%,2.23%,2.67%,3.21%,2.97%,4.01%,3.14%,4.30%,4.87%,5.55%,,,,,,,
,Moore,0.98%,0.24%,0.77%,0.00%,0.29%,0.27%,1.26%,0.79%,0.99%,2.36%,1.57%,,,,,,,
