"school_name","school_type","address","city","zipcode","planning_region","ex_rel","ex_med","ex_tot"
"Ana Grace Academy of the Arts 6-8","Public","129 Griffin Road North","Bloomfield","06002","Capitol","1.5","0.0","1.5"
"Ana Grace Academy of the Arts PK-5","Public","129 Griffin Road North","Bloomfield","06002","Capitol","0.6","0.2","0.8"
"Bloomfield High School","Public","5 Huckleberry Ln.","Bloomfield","06002","Capitol","0.4","0.0","0.4"
"Carmen Arace","Public","390 Park Avenue","Bloomfield","06002","Capitol","DNC","DNC","DNC"
"Global Experience Magnet School","Public","44 Griffin Rd., South","Bloomfield","06002","Capitol","0.0","0.0","0.0"
"Laurel Literacy Academy","Public","1 Filley St.","Bloomfield","06002","Capitol","0.0","0.0","0.0"
"Metacomet School","Public","185 School St.","Bloomfield","06002","Capitol","0.0","0.0","0.0"
"Museum Academy","Non-public","11 Turkey Hill Road","Bloomfield","06002","Capitol","DNC","DNC","DNC"
"River Street School Birken Campus","Public","1289 Blue Hills Avenue","Bloomfield","06002","Capitol","3.3","1.7","5.0"
"Wintonbury Early Childhood Magnet School","Public","44 Brown Street","Bloomfield","06002","Capitol","0.0","0.3","0.3"
"Bolton Center School","Public","108 Notch Rd.","Bolton","06043","Capitol","2.0","0.7","2.7"
"Bolton High School","Public","72 Brandy St.","Bolton","06043","Capitol","1.9","0.0","1.9"
"Fields Memorial School","Public","8 Bozrah St. Ext.","Bozrah","06334","Southeastern CT","2.8","0.6","3.3"
"Branford High School","Public","185 East Main St.","Branford","06405","South Central","0.3","1.6","1.9"
"East Shoreline Catholic Academy","Non-public","62 Cedar Street","Branford","06405","South Central","1.8","0.9","2.7"
"Francis Walsh Intermediate School","Public","185 Damascus Rd.","Branford","06405","South Central","1.2","0.0","1.2"
"Indian Neck School","Non-public","12 Melrose Ave.","Branford","06405","South Central","0.0","0.0","0.0"
"John B. Sliney School","Public","23 Eades St.","Branford","06405","South Central","0.4","0.4","0.8"
"Mary R. Tisko School","Public","118 Damascus Rd.","Branford","06405","South Central","0.3","0.3","0.6"
"Mary T. Murphy School","Public","14 Brushy Plain Rd.","Branford","06405","South Central","0.0","1.0","1.0"
"A.B. Skane Center","Public","2977 North Madison Ave.","Bridgeport","06606","Greater Bridgeport","0.0","0.0","0.0"
"Achievement First Bridgeport Academy","Public","655 Stillman St.","Bridgeport","06608","Greater Bridgeport","0.2","0.0","0.2"
"Adam J. Lewis Academy","Non-public","500 State St.","Bridgeport","06604","Greater Bridgeport","0.0","0.0","0.0"
