time	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	enrollment
2019-09-01	51678	Lexington City	Kindergarten	NA	NA	NA	NA	NA	1	1	2	NA	NA	NA	NA	NA	2.04	2.04	4.08	49
2019-09-01	51107	Loudoun	7th grade	NA	NA	NA	NA	NA	73	28	101	NA	NA	NA	NA	NA	1.13	0.43	1.57	6445
2019-09-01	51107	Loudoun	Kindergarten	NA	NA	NA	NA	NA	65	15	80	NA	NA	NA	NA	NA	1.08	0.25	1.33	6001
2019-09-01	51109	Louisa	7th grade	NA	NA	NA	NA	NA	5	0	5	NA	NA	NA	NA	NA	1.29	0	1.29	388
2019-09-01	51109	Louisa	Kindergarten	NA	NA	NA	NA	NA	8	0	8	NA	NA	NA	NA	NA	2.31	0	2.31	347
2019-09-01	51111	Lunenburg	Kindergarten	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.85	0	0.85	118
2019-09-01	51680	Lynchburg City	7th grade	NA	NA	NA	NA	NA	9	0	9	NA	NA	NA	NA	NA	4.69	0	4.69	192
2019-09-01	51680	Lynchburg City	Kindergarten	NA	NA	NA	NA	NA	19	4	23	NA	NA	NA	NA	NA	2.29	0.48	2.77	829
2019-09-01	51113	Madison	7th grade	NA	NA	NA	NA	NA	6	0	6	NA	NA	NA	NA	NA	4.23	0	4.23	142
2019-09-01	51113	Madison	Kindergarten	NA	NA	NA	NA	NA	6	0	6	NA	NA	NA	NA	NA	5.61	0	5.61	107
2019-09-01	51683	Manassas City	7th grade	NA	NA	NA	NA	NA	12	0	12	NA	NA	NA	NA	NA	1.67	0	1.67	717
2019-09-01	51683	Manassas City	Kindergarten	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	0.32	0	0.32	628
2019-09-01	51685	Manassas Park City	7th grade	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.34	0	0.34	295
2019-09-01	51685	Manassas Park City	Kindergarten	NA	NA	NA	NA	NA	0	1	1	NA	NA	NA	NA	NA	0	0.42	0.42	240
2019-09-01	51690	Martinsville City	7th grade	NA	NA	NA	NA	NA	3	0	3	NA	NA	NA	NA	NA	2	0	2	150
2019-09-01	51690	Martinsville City	Kindergarten	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.85	0	0.85	118
2019-09-01	51115	Mathews	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	67
2019-09-01	51117	Mecklenburg	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	190
2019-09-01	51119	Middlesex	7th grade	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	1.09	0	1.09	92
2019-09-01	51119	Middlesex	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	97
2019-09-01	51121	Montgomery	7th grade	NA	NA	NA	NA	NA	11	12	23	NA	NA	NA	NA	NA	1.3	1.42	2.72	846
2019-09-01	51121	Montgomery	Kindergarten	NA	NA	NA	NA	NA	5	0	5	NA	NA	NA	NA	NA	0.74	0	0.74	674
2019-09-01	51125	Nelson	7th grade	NA	NA	NA	NA	NA	2	4	6	NA	NA	NA	NA	NA	1.4	2.8	4.2	143
2019-09-01	51125	Nelson	Kindergarten	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	1.01	0	1.01	99
2019-09-01	51127	New Kent	7th grade	NA	NA	NA	NA	NA	4	1	5	NA	NA	NA	NA	NA	1.42	0.36	1.78	281
2019-09-01	51127	New Kent	Kindergarten	NA	NA	NA	NA	NA	5	0	5	NA	NA	NA	NA	NA	1.77	0	1.77	283
2019-09-01	51700	Newport News City	7th grade	NA	NA	NA	NA	NA	33	83	116	NA	NA	NA	NA	NA	1.66	4.18	5.84	1985
2019-09-01	51700	Newport News City	Kindergarten	NA	NA	NA	NA	NA	30	29	59	NA	NA	NA	NA	NA	1.28	1.24	2.52	2339
2019-09-01	51710	Norfolk City	7th grade	NA	NA	NA	NA	NA	31	0	31	NA	NA	NA	NA	NA	1.29	0	1.29	2396
2019-09-01	51710	Norfolk City	Kindergarten	NA	NA	NA	NA	NA	23	2	25	NA	NA	NA	NA	NA	0.93	0.08	1.01	2474
2019-09-01	51131	Northampton	7th grade	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	5.88	0	5.88	17
2019-09-01	51131	Northampton	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	112
2019-09-01	51133	Northumberland	7th grade	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	2.47	0	2.47	81
2019-09-01	51133	Northumberland	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	82
2019-09-01	51720	Norton City	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	59
2019-09-01	51720	Norton City	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	75
2019-09-01	51135	Nottoway	7th grade	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.54	0	0.54	186
2019-09-01	51135	Nottoway	Kindergarten	NA	NA	NA	NA	NA	3	0	3	NA	NA	NA	NA	NA	1.72	0	1.72	174
2019-09-01	51137	Orange	7th grade	NA	NA	NA	NA	NA	4	2	6	NA	NA	NA	NA	NA	0.95	0.47	1.42	423
2019-09-01	51137	Orange	Kindergarten	NA	NA	NA	NA	NA	11	2	13	NA	NA	NA	NA	NA	2.12	0.39	2.51	518
2019-09-01	51139	Page	7th grade	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	0.87	0	0.87	230
2019-09-01	51139	Page	Kindergarten	NA	NA	NA	NA	NA	4	0	4	NA	NA	NA	NA	NA	1.7	0	1.7	235
2019-09-01	51141	Patrick	7th grade	NA	NA	NA	NA	NA	4	1	5	NA	NA	NA	NA	NA	2.37	0.59	2.96	169
2019-09-01	51141	Patrick	Kindergarten	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.6	0	0.6	168
2019-09-01	51730	Petersburg City	7th grade	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	0.66	0	0.66	301
2019-09-01	51730	Petersburg City	Kindergarten	NA	NA	NA	NA	NA	9	2	11	NA	NA	NA	NA	NA	2.45	0.54	2.99	368
2019-09-01	51143	Pittsylvania	7th grade	NA	NA	NA	NA	NA	3	1	4	NA	NA	NA	NA	NA	0.45	0.15	0.6	671
2019-09-01	51143	Pittsylvania	Kindergarten	NA	NA	NA	NA	NA	5	3	8	NA	NA	NA	NA	NA	0.9	0.54	1.44	555
2019-09-01	51735	Poquoson City	7th grade	NA	NA	NA	NA	NA	1	2	3	NA	NA	NA	NA	NA	0.59	1.18	1.76	170
2019-09-01	51735	Poquoson City	Kindergarten	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	1.47	0	1.47	136
2019-09-01	51740	Portsmouth City	7th grade	NA	NA	NA	NA	NA	6	2	8	NA	NA	NA	NA	NA	0.57	0.19	0.77	1045
2019-09-01	51740	Portsmouth City	Kindergarten	NA	NA	NA	NA	NA	25	3	28	NA	NA	NA	NA	NA	2.1	0.25	2.35	1189
2019-09-01	51145	Powhatan	7th grade	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.29	0	0.29	345
2019-09-01	51145	Powhatan	Kindergarten	NA	NA	NA	NA	NA	5	0	5	NA	NA	NA	NA	NA	1.57	0	1.57	318
2019-09-01	51147	Prince Edward	7th grade	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.58	0	0.58	173
2019-09-01	51147	Prince Edward	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	169
2019-09-01	51149	Prince George	7th grade	NA	NA	NA	NA	NA	3	0	3	NA	NA	NA	NA	NA	0.57	0	0.57	525
2019-09-01	51149	Prince George	Kindergarten	NA	NA	NA	NA	NA	9	2	11	NA	NA	NA	NA	NA	1.83	0.41	2.24	492
2019-09-01	51153	Prince William	7th grade	NA	NA	NA	NA	NA	91	18	109	NA	NA	NA	NA	NA	1.42	0.28	1.71	6392
2019-09-01	51153	Prince William	Kindergarten	NA	NA	NA	NA	NA	65	6	71	NA	NA	NA	NA	NA	1.11	0.1	1.22	5831
2019-09-01	51155	Pulaski	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	146
2019-09-01	51155	Pulaski	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	321
2019-09-01	51750	Radford City	7th grade	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	1.42	0	1.42	141
2019-09-01	51750	Radford City	Kindergarten	NA	NA	NA	NA	NA	0	1	1	NA	NA	NA	NA	NA	0	0.81	0.81	123
2019-09-01	51157	Rappahannock	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	69
2019-09-01	51157	Rappahannock	Kindergarten	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	1.69	0	1.69	59
